"# Channel 1"
"# Trace 1"
Power, Formatted Data, Formatted Data
-2.30000000000E+001, +1.48175146925E+001, +0.00000000000E+000
-2.28000000000E+001, +1.48306719480E+001, +0.00000000000E+000
-2.26000000000E+001, +1.48147447432E+001, +0.00000000000E+000
-2.24000000000E+001, +1.48210906221E+001, +0.00000000000E+000
-2.22000000000E+001, +1.48119273395E+001, +0.00000000000E+000
-2.20000000000E+001, +1.48197478616E+001, +0.00000000000E+000
-2.18000000000E+001, +1.48004254699E+001, +0.00000000000E+000
-2.16000000000E+001, +1.48112287640E+001, +0.00000000000E+000
-2.14000000000E+001, +1.47965847886E+001, +0.00000000000E+000
-2.12000000000E+001, +1.47925081536E+001, +0.00000000000E+000
-2.10000000000E+001, +1.47889917334E+001, +0.00000000000E+000
-2.08000000000E+001, +1.47901692416E+001, +0.00000000000E+000
-2.06000000000E+001, +1.47841763081E+001, +0.00000000000E+000
-2.04000000000E+001, +1.47825173590E+001, +0.00000000000E+000
-2.02000000000E+001, +1.47847922913E+001, +0.00000000000E+000
-2.00000000000E+001, +1.47781966078E+001, +0.00000000000E+000
-1.98000000000E+001, +1.47682796641E+001, +0.00000000000E+000
-1.96000000000E+001, +1.47656414821E+001, +0.00000000000E+000
-1.94000000000E+001, +1.47566218399E+001, +0.00000000000E+000
-1.92000000000E+001, +1.47549506060E+001, +0.00000000000E+000
-1.90000000000E+001, +1.47457142447E+001, +0.00000000000E+000
-1.88000000000E+001, +1.47457708131E+001, +0.00000000000E+000
-1.86000000000E+001, +1.47382635593E+001, +0.00000000000E+000
-1.84000000000E+001, +1.47282452839E+001, +0.00000000000E+000
-1.82000000000E+001, +1.47181969206E+001, +0.00000000000E+000
-1.80000000000E+001, +1.47173311598E+001, +0.00000000000E+000
-1.78000000000E+001, +1.47063401064E+001, +0.00000000000E+000
-1.76000000000E+001, +1.46931938473E+001, +0.00000000000E+000
-1.74000000000E+001, +1.46871426335E+001, +0.00000000000E+000
-1.72000000000E+001, +1.46726577548E+001, +0.00000000000E+000
-1.70000000000E+001, +1.46663009482E+001, +0.00000000000E+000
-1.68000000000E+001, +1.46481355079E+001, +0.00000000000E+000
-1.66000000000E+001, +1.46417023984E+001, +0.00000000000E+000
-1.64000000000E+001, +1.46266643400E+001, +0.00000000000E+000
-1.62000000000E+001, +1.46189215384E+001, +0.00000000000E+000
